experiment,transformer_acc,transformer_macro_f1,bilstm_acc,bilstm_macro_f1,acc_gap_transformer_minus_bilstm,macro_f1_gap_transformer_minus_bilstm
baseline,0.7777101713822128,0.7440784193442846,0.7275327045938546,0.6739751225304799,0.050177466788358216,0.07010329681380478
obfuscated_jitter_high,0.546780245411216,0.476558600143484,0.3595578541730048,0.2956197286582074,0.18722239123821116,0.1809388714852766
obfuscated_jitter_low,0.7683804887942399,0.727166724032096,0.7097657438393672,0.6509760433557106,0.05861474495487273,0.07619068067638546
obfuscated_jitter_medium,0.6882871919683602,0.6300890633448019,0.5792718791197647,0.5037269425371294,0.10901531284859545,0.1263621208076725
obfuscated_linear128,0.5905689078186797,0.6201256342761968,0.6681066828922017,0.6314412316911145,-0.077537775073522,-0.011315597414917722
obfuscated_linear128_jitter_medium,0.5230301186492242,0.4999080698606529,0.5057296420241355,0.4388337457755835,0.017300476625088712,0.06107432408506941
obfuscated_mtu,0.0214379880336679,0.0029599301212694,0.0288003245106987,0.0164428357195641,-0.007362336477030801,-0.013482905598294698
obfuscated_mtu_jitter_medium,0.0297130108508264,0.0036752461272846,0.0256160632795862,0.0118938040076865,0.004096947571240201,-0.0082185578804019
