experiment,accuracy,accuracy_ci_low,accuracy_ci_high,macro_f1,macro_f1_ci_low,macro_f1_ci_high,n_bootstrap,n_samples
baseline,0.7777555825981137,0.773997059121793,0.7811991684413345,0.7438085768094376,0.73713380417549,0.7504103814306643,2000,49305
obfuscated_jitter_high,0.5467792414562418,0.5425210424906196,0.5511215901024237,0.4761025351331291,0.4685786350747502,0.48333544159004654,2000,49305
obfuscated_jitter_low,0.7684297434337288,0.7645872629550755,0.7721326437480985,0.7268586345414948,0.7201045046471691,0.7336526542613814,2000,49305
obfuscated_jitter_medium,0.688313903255248,0.6841699624784504,0.6923243078795254,0.6296061256853199,0.622289939211169,0.637048188722059,2000,49305
obfuscated_linear128,0.5905908122908426,0.5861672244194301,0.5948286177872426,0.6197168050783974,0.6124574416011026,0.6267812051327288,2000,49305
obfuscated_linear128_jitter_medium,0.5230053240036507,0.5187906905993307,0.5274520839671433,0.49933429828193676,0.49132268144679,0.5073108464935463,2000,49305
obfuscated_mtu,0.021447246729540615,0.020160227157489097,0.022736537876483113,0.0029580233121480433,0.0027393635382734895,0.0032282273125966176,2000,49305
obfuscated_mtu_jitter_medium,0.029734235878714127,0.02825169861068857,0.03125443666970895,0.003674983802787025,0.003397130289582615,0.00401124153219181,2000,49305
