class_id,class_name,support,precision,recall,f1,experiment
31,52,234,0.0965473145780051,0.6452991452991453,0.167964404894327,baseline
37,58,55,0.238095238095238,0.6363636363636364,0.3465346534653465,baseline
28,48,179,0.2782805429864253,0.6871508379888268,0.3961352657004831,baseline
42,64,39,0.4259259259259259,0.5897435897435898,0.4946236559139785,baseline
3,11,104,0.5043478260869565,0.5576923076923077,0.5296803652968036,baseline
24,43,657,0.3766074709124311,0.9360730593607306,0.537117903930131,baseline
61,98,149,0.4285714285714285,0.7248322147651006,0.5386533665835411,baseline
47,70,48,0.5,0.6041666666666666,0.5471698113207547,baseline
46,68,416,0.6151603498542274,0.5072115384615384,0.5559947299077734,baseline
39,60,527,0.4493742889647326,0.7495256166982922,0.561877667140825,baseline
31,52,234,0.0985054347826086,0.6196581196581197,0.1699882766705744,obfuscated_jitter_low
37,58,55,0.2085889570552147,0.6181818181818182,0.3119266055045872,obfuscated_jitter_low
28,48,179,0.2796208530805687,0.659217877094972,0.3926788685524126,obfuscated_jitter_low
42,64,39,0.3432835820895522,0.5897435897435898,0.4339622641509434,obfuscated_jitter_low
61,98,149,0.3376623376623376,0.697986577181208,0.4551422319474836,obfuscated_jitter_low
3,11,104,0.4360902255639097,0.5576923076923077,0.4894514767932489,obfuscated_jitter_low
47,70,48,0.4347826086956521,0.625,0.5128205128205128,obfuscated_jitter_low
46,68,416,0.6168831168831169,0.4567307692307692,0.5248618784530387,obfuscated_jitter_low
39,60,527,0.4423748544819557,0.7210626185958254,0.5483405483405484,obfuscated_jitter_low
60,97,113,0.4245283018867924,0.7964601769911505,0.5538461538461539,obfuscated_jitter_low
0,3,84,0.0,0.0,0.0,obfuscated_mtu
1,4,117,0.0,0.0,0.0,obfuscated_mtu
2,5,497,0.0,0.0,0.0,obfuscated_mtu
3,11,104,0.0,0.0,0.0,obfuscated_mtu
4,12,94,0.0,0.0,0.0,obfuscated_mtu
5,13,424,0.0,0.0,0.0,obfuscated_mtu
6,14,532,0.0,0.0,0.0,obfuscated_mtu
7,15,93,0.0,0.0,0.0,obfuscated_mtu
8,17,1266,0.0,0.0,0.0,obfuscated_mtu
9,18,92,0.0,0.0,0.0,obfuscated_mtu
