run_label,run_dir,batch_size,lr,weight_decay,config_label,epochs_ran,best_epoch,best_val_acc,best_val_loss,train_acc_at_best,acc_gap_at_best,loss_gap_at_best,final_val_acc,final_train_acc,final_acc_gap,max_acc_gap,mean_acc_gap_last5,final_lr,overfit_label
R06_bs1024_lr0.001_wd0.01,artifacts/sweeps/run_06_bs1024_lr0.001_wd0.01,1024,0.001,0.01,"bs=1024, lr=1e-03, wd=1e-02",50,49,0.8038180341186028,1.919638815398724,0.8098939821678819,0.006075948049279134,0.31561609969655446,0.8034626320064988,0.8114680017060341,0.008005369699535247,0.01660245170712049,0.008072313891792148,1e-06,Good fit
R05_bs1024_lr0.001_wd0.001,artifacts/sweeps/run_05_bs1024_lr0.001_wd0.001,1024,0.001,0.001,"bs=1024, lr=1e-03, wd=1e-03",50,50,0.8028533712428919,1.9158675099271376,0.8105134350183805,0.007660063775488557,0.3103966320617777,0.8028533712428919,0.8105134350183805,0.007660063775488557,0.01766058810494442,0.008113907794272856,1e-06,Good fit
R02_bs1024_lr0.001_wd0.01,artifacts/sweeps/run_02_bs1024_lr0.001_wd0.01,1024,0.001,0.01,"bs=1024, lr=1e-03, wd=1e-02",30,29,0.7692932575142161,1.9473451917293496,0.7696955541564271,0.0004022966422110308,0.22966760003556752,0.7685824532900081,0.77051302881979,0.0019305755297819305,0.006023633688263308,0.0021183167813457527,1e-06,Good fit
R03_bs2048_lr0.001_wd0.01,artifacts/sweeps/run_03_bs2048_lr0.001_wd0.01,2048,0.001,0.01,"bs=2048, lr=1e-03, wd=1e-02",28,22,0.7299959382615759,2.041331700635673,0.7128480614172269,-0.01714787684434904,0.17371338775407508,0.7256803411860276,0.7269431525072608,0.0012628113212331815,0.011494530210954146,0.002637470587518065,1.191527343346406e-05,Good fit
R03_bs1024_lr0.0003_wd0.001,artifacts/sweeps/run_03_bs1024_lr0.0003_wd0.001,1024,0.0003,0.001,"bs=1024, lr=3e-04, wd=1e-03",50,47,0.7248679935012186,2.079121809098703,0.7144373134025225,-0.010430680098696077,0.22033136410699727,0.72410641754671,0.7147876596868209,-0.009318757859889115,0.000956001045491206,-0.009465012244445736,1e-06,Good fit
R01_bs512_lr0.001_wd0.01,artifacts/sweeps/run_01_bs512_lr0.001_wd0.01,512,0.001,0.01,"bs=512, lr=1e-03, wd=1e-02",26,20,0.7246141348497157,2.028464224936999,0.747725287893251,0.023111153043535282,0.24076223268172492,0.7031884646628757,0.774092653898491,0.07090418923561537,0.07090418923561537,0.05519800886136583,4.418404390752082e-05,Good fit
R04_bs1024_lr0.0003_wd0.01,artifacts/sweeps/run_04_bs1024_lr0.0003_wd0.01,1024,0.0003,0.01,"bs=1024, lr=3e-04, wd=1e-02",50,42,0.7243095044679123,2.086451927885401,0.7110963299957349,-0.013213174472177402,0.21792950072746087,0.7237002437043054,0.7143205313077564,-0.009379712396549,0.0009864350046701054,-0.00945082313537562,1e-06,Good fit
R04_bs512_lr0.001_wd0.001,artifacts/sweeps/run_04_bs512_lr0.001_wd0.001,512,0.001,0.001,"bs=512, lr=1e-03, wd=1e-03",25,19,0.7228878960194963,2.031266609892237,0.7420994374149522,0.01921154139545589,0.2238589603957961,0.7062855402112104,0.7697361740154761,0.06345063380426574,0.06345063380426574,0.052975949133245256,6.792031080967288e-05,Good fit
R02_bs1024_lr0.0001_wd0.01,artifacts/sweeps/run_02_bs1024_lr0.0001_wd0.01,1024,0.0001,0.01,"bs=1024, lr=1e-04, wd=1e-02",44,36,0.6136271324126726,2.300484606350078,0.5842658975973354,-0.029361234815337256,0.060464692350831406,0.6117485783915516,0.593095639458131,-0.01865293893342057,-0.013879509478739893,-0.021144967904784307,4.476063948531556e-06,Good fit
R01_bs1024_lr0.0001_wd0.001,artifacts/sweeps/run_01_bs1024_lr0.0001_wd0.001,1024,0.0001,0.001,"bs=1024, lr=1e-04, wd=1e-03",44,36,0.6135763606823721,2.3003145949226584,0.5843014399740033,-0.02927492070836879,0.06124891225519269,0.612053208773355,0.5934104433657615,-0.018642765407593465,-0.015788509833082887,-0.021243439509168228,4.476063948531556e-06,Good fit
