run_label,run_dir,batch_size,lr,weight_decay,config_label,epochs_ran,best_epoch,best_val_acc,best_val_loss,train_acc_at_best,acc_gap_at_best,loss_gap_at_best,final_val_acc,final_train_acc,final_acc_gap,max_acc_gap,mean_acc_gap_last5,final_lr,overfit_label
R06_bs1024_lr0.001_wd0.01,artifacts/refine/stage2/run_06_bs1024_lr0.001_wd0.01,1024,0.001,0.01,"bs=1024, lr=1e-03, wd=1e-02",70,67,0.8252944760357434,0.8046231376359755,0.8356266628754798,0.010332186839736468,0.5072636663535592,0.824279041429732,0.8361293336312123,0.011850292201480372,0.02082700057301723,0.011141501646564422,1e-06,Good fit
R02_bs1024_lr0.001_wd0.01,artifacts/refine/stage2/run_02_bs1024_lr0.001_wd0.01,1024,0.001,0.01,"bs=1024, lr=1e-03, wd=1e-02",80,79,0.8251929325751421,1.9202917387193048,0.842125840323334,0.016932907748191894,0.4014510716176818,0.8251929325751421,0.8415470073318846,0.016354074756742443,0.02760616033984864,0.017598020199289088,1e-06,Good fit
R05_bs1024_lr0.001_wd0.005,artifacts/refine/stage2/run_05_bs1024_lr0.001_wd0.005,1024,0.001,0.005,"bs=1024, lr=1e-03, wd=5e-03",70,59,0.8216896831844029,1.9067658506497245,0.829848487925747,0.008158804741344006,0.34940359022404754,0.8205727051177905,0.833468732863497,0.012896027745706529,0.0216000524213964,0.014010998330048641,1e-06,Good fit
R07_bs1024_lr0.001_wd0.01,artifacts/refine/stage2/run_07_bs1024_lr0.001_wd0.01,1024,0.001,0.01,"bs=1024, lr=1e-03, wd=1e-02",70,65,0.8199634443541836,1.5093136626854842,0.8352153868026078,0.015251942448424205,0.3955748996298525,0.8175264012997563,0.8367335540345675,0.019207152734811217,0.029794524311010373,0.018818202735564338,1e-06,Good fit
R03_bs1024_lr0.0012_wd0.01,artifacts/refine/stage2/run_03_bs1024_lr0.0012_wd0.01,1024,0.0012,0.01,"bs=1024, lr=1e-03, wd=1e-02",70,65,0.8138708367181153,1.9879233414907944,0.8340018685135162,0.020131031795400878,0.44650207768545336,0.813210804224208,0.8353829437211853,0.022172139496977272,0.024979343803500642,0.022067503762987762,1e-06,Good fit
R01_bs1024_lr7e-4_wd0.01,artifacts/refine/stage2/run_01_bs1024_lr7e-4_wd0.01,1024,0.0007,0.01,"bs=1024, lr=7e-04, wd=1e-02",70,65,0.8086921202274574,1.9563719880571215,0.8196122834453764,0.010920163217918999,0.38001209309661466,0.8059504467912266,0.8218971505168877,0.015946703725661093,0.021565942340225575,0.016751920661858887,1e-06,Good fit
R04_bs1024_lr0.0015_wd0.01,artifacts/refine/stage2/run_04_bs1024_lr0.0015_wd0.01,1024,0.0015,0.01,"bs=1024, lr=2e-03, wd=1e-02",63,51,0.7944760357432982,2.0604734963076954,0.812585047829884,0.018109012086585885,0.4691484540411839,0.7860987002437043,0.8276347056075716,0.04153600536386726,0.04677973301500482,0.036093145948192976,3.7683141036782416e-05,Good fit
